stock_code,cluster,method,tag,score,dim,value,rank_in_group
002712.SZ,,latent_extreme,z8_bottom,-3.9882598,z8,-3.9882598,7
688418.SH,,latent_extreme,z8_bottom,-3.3921318,z8,-3.3921318,8
001298.SZ,,latent_extreme,z8_bottom,-3.3303134,z8,-3.3303134,9
300981.SZ,,latent_extreme,z8_bottom,-2.7036443,z8,-2.7036443,10
002069.SZ,,latent_extreme,z8_top,59.106953,z8,59.106953,1
000695.SZ,,latent_extreme,z8_top,48.8562,z8,48.8562,2
002313.SZ,,latent_extreme,z8_top,27.458897,z8,27.458897,3
600941.SH,,latent_extreme,z8_top,15.782752,z8,15.782752,4
600955.SH,,latent_extreme,z8_top,14.062887,z8,14.062887,5
002862.SZ,,latent_extreme,z8_top,13.981486,z8,13.981486,6
000980.SZ,,latent_extreme,z8_top,13.428954,z8,13.428954,7
600519.SH,,latent_extreme,z8_top,13.18797,z8,13.18797,8
000736.SZ,,latent_extreme,z8_top,12.861377,z8,12.861377,9
002196.SZ,,latent_extreme,z8_top,12.327133,z8,12.327133,10
