stock_code,cluster,method,tag,score,dim,value,rank_in_group,tags
002313.SZ,,latent_extreme,z6_top,18.122118,z6,18.122118,1,z4_bottom|z6_top|z7_top|z8_top
002313.SZ,,latent_extreme,z7_top,37.38565,z7,37.38565,9,z4_bottom|z6_top|z7_top|z8_top
002313.SZ,,latent_extreme,z8_top,27.458897,z8,27.458897,3,z4_bottom|z6_top|z7_top|z8_top
002493.SZ,,latent_extreme,z7_bottom,0.65948457,z7,0.65948457,8,z7_bottom
002513.SZ,,latent_extreme,z6_top,4.9756746,z6,4.9756746,10,z6_top
002564.SZ,,latent_extreme,z1_bottom,1.604115,z1,1.604115,9,z1_bottom|z3_bottom
002564.SZ,,latent_extreme,z3_bottom,0.84723413,z3,0.84723413,9,z1_bottom|z3_bottom
002670.SZ,,latent_extreme,z1_top,96.05695,z1,96.05695,5,cluster_5_rep|z1_top|z2_top|z3_top|z4_bottom|z5_bottom|z6_top|z7_top
002670.SZ,,latent_extreme,z2_top,21.784811,z2,21.784811,1,cluster_5_rep|z1_top|z2_top|z3_top|z4_bottom|z5_bottom|z6_top|z7_top
002670.SZ,,latent_extreme,z3_top,146.01218,z3,146.01218,1,cluster_5_rep|z1_top|z2_top|z3_top|z4_bottom|z5_bottom|z6_top|z7_top
002670.SZ,,latent_extreme,z4_bottom,-9.019521,z4,-9.019521,6,cluster_5_rep|z1_top|z2_top|z3_top|z4_bottom|z5_bottom|z6_top|z7_top
002670.SZ,,latent_extreme,z5_bottom,-113.38867,z5,-113.38867,2,cluster_5_rep|z1_top|z2_top|z3_top|z4_bottom|z5_bottom|z6_top|z7_top
002670.SZ,,latent_extreme,z6_top,11.517734,z6,11.517734,4,cluster_5_rep|z1_top|z2_top|z3_top|z4_bottom|z5_bottom|z6_top|z7_top
002670.SZ,,latent_extreme,z7_top,132.31767,z7,132.31767,1,cluster_5_rep|z1_top|z2_top|z3_top|z4_bottom|z5_bottom|z6_top|z7_top
002712.SZ,,latent_extreme,z8_bottom,-3.9882598,z8,-3.9882598,7,z8_bottom
002742.SZ,,latent_extreme,z3_bottom,0.6173991,z3,0.6173991,7,z3_bottom
002816.SZ,,latent_extreme,z4_bottom,-16.754908,z4,-16.754908,2,z4_bottom|z6_top
002816.SZ,,latent_extreme,z6_top,7.5058255,z6,7.5058255,8,z4_bottom|z6_top
